Date,TimeOfDay,AppCategory,DailyUsage,SessionUsage,,daily usage: cumulative of session usage
10/21/2025,7,social,27,0,,
10/21/2025,8,social,27,0,,
10/21/2025,9,social,27,0,,
10/21/2025,10,social,27,0,,
10/21/2025,11,social,75,48,,
10/21/2025,12,social,114,39,,
10/21/2025,13,social,152,38,,
10/21/2025,14,social,157,5,,
10/21/2025,15,social,158,1,,
10/21/2025,16,social,199,41,,
10/21/2025,17,social,248,49,,
10/21/2025,18,social,288,40,,
10/21/2025,19,social,330,42,,
10/21/2025,20,social,331,1,,
10/21/2025,21,social,331,0,,
10/21/2025,22,social,331,0,,
10/21/2025,23,social,331,0,,
10/21/2025,0,others,0,0,,
10/21/2025,1,others,0,0,,
10/21/2025,2,others,0,0,,
10/21/2025,3,others,0,0,,
10/21/2025,4,others,0,0,,
10/21/2025,5,others,0,0,,
10/21/2025,6,others,0,0,,
10/21/2025,7,others,0,0,,
10/21/2025,8,others,0,0,,
10/21/2025,9,others,9,9,,
10/21/2025,10,others,35,26,,
10/21/2025,11,others,46,11,,
10/21/2025,12,others,46,0,,
10/21/2025,13,others,46,0,,
10/21/2025,14,others,46,0,,
10/21/2025,15,others,46,0,,
10/21/2025,16,others,46,0,,
10/21/2025,17,others,46,0,,
10/21/2025,18,others,46,0,,
10/21/2025,19,others,46,0,,
10/21/2025,20,others,46,0,,
10/21/2025,21,others,46,0,,
10/21/2025,22,others,46,0,,
10/21/2025,23,others,46,0,,
10/21/2025,0,entertainment,11,11,,
10/21/2025,1,entertainment,11,0,,
10/21/2025,2,entertainment,11,0,,
10/21/2025,3,entertainment,11,0,,
10/21/2025,4,entertainment,11,0,,
10/21/2025,5,entertainment,11,0,,
10/21/2025,6,entertainment,11,0,,
10/21/2025,7,entertainment,11,0,,
10/21/2025,8,entertainment,11,0,,
10/21/2025,9,entertainment,11,0,,
10/21/2025,10,entertainment,12,1,,
10/21/2025,11,entertainment,12,0,,
10/21/2025,12,entertainment,22,10,,
10/21/2025,13,entertainment,26,4,,
10/21/2025,14,entertainment,26,0,,
10/21/2025,15,entertainment,26,0,,
10/21/2025,16,entertainment,26,0,,
10/21/2025,17,entertainment,26,0,,
10/21/2025,18,entertainment,26,0,,
10/21/2025,19,entertainment,26,0,,
10/21/2025,20,entertainment,26,0,,
10/21/2025,21,entertainment,26,0,,
10/21/2025,22,entertainment,26,0,,
10/21/2025,23,entertainment,26,0,,
10/22/2025,0,social,36,36,,
10/22/2025,1,social,72,36,,
10/22/2025,2,social,115,43,,
10/22/2025,3,social,175,60,,
10/22/2025,4,social,235,60,,
10/22/2025,5,social,283,48,,
10/22/2025,6,social,283,0,,
10/22/2025,7,social,283,0,,
10/22/2025,8,social,283,0,,
10/22/2025,9,social,283,0,,
10/22/2025,10,social,283,0,,
10/22/2025,11,social,301,18,,
10/22/2025,12,social,304,3,,
10/22/2025,13,social,305,1,,
10/22/2025,14,social,320,15,,
10/22/2025,15,social,321,1,,
10/22/2025,16,social,352,31,,
10/22/2025,17,social,380,28,,
10/22/2025,18,social,418,38,,
10/22/2025,19,social,428,10,,
10/22/2025,20,social,429,1,,
10/22/2025,21,social,434,5,,
10/22/2025,22,social,436,2,,
10/22/2025,23,social,437,1,,
10/22/2025,0,entertainment,14,14,,
10/22/2025,1,entertainment,28,14,,
10/22/2025,2,entertainment,42,14,,
10/22/2025,3,entertainment,42,0,,
10/22/2025,4,entertainment,42,0,,
10/22/2025,5,entertainment,54,12,,
10/22/2025,6,entertainment,54,0,,
10/22/2025,7,entertainment,54,0,,
10/22/2025,8,entertainment,54,0,,
10/22/2025,9,entertainment,54,0,,
10/22/2025,10,entertainment,54,0,,
10/22/2025,11,entertainment,69,15,,
10/22/2025,12,entertainment,110,41,,
10/22/2025,13,entertainment,111,1,,
10/22/2025,14,entertainment,111,0,,
10/22/2025,15,entertainment,128,17,,
10/22/2025,16,entertainment,135,7,,
10/22/2025,17,entertainment,156,21,,
10/22/2025,18,entertainment,164,8,,
10/22/2025,19,entertainment,166,2,,
10/22/2025,20,entertainment,167,1,,
10/22/2025,21,entertainment,176,9,,
10/22/2025,22,entertainment,189,13,,
10/22/2025,23,entertainment,210,21,,
10/22/2025,0,others,0,0,,
10/22/2025,1,others,0,0,,
10/22/2025,2,others,0,0,,
10/22/2025,3,others,0,0,,
10/22/2025,4,others,0,0,,
10/22/2025,5,others,0,0,,
10/22/2025,6,others,0,0,,
10/22/2025,7,others,0,0,,
10/22/2025,8,others,0,0,,
10/22/2025,9,others,0,0,,
10/22/2025,10,others,0,0,,
10/22/2025,11,others,0,0,,
10/22/2025,12,others,0,0,,
10/22/2025,13,others,0,0,,
10/22/2025,14,others,0,0,,
10/22/2025,15,others,0,0,,
10/22/2025,16,others,0,0,,
10/22/2025,17,others,0,0,,
10/22/2025,18,others,0,0,,
10/22/2025,19,others,0,0,,
10/22/2025,20,others,10,10,,
10/22/2025,21,others,12,2,,
10/22/2025,22,others,12,0,,
10/22/2025,23,others,12,0,,
10/23/2025,0,social,8,8,,
10/23/2025,1,social,8,0,,
10/23/2025,2,social,8,0,,
10/23/2025,3,social,8,0,,
10/23/2025,4,social,8,0,,
10/23/2025,5,social,8,0,,
10/23/2025,6,social,8,0,,
10/23/2025,7,social,8,0,,
10/23/2025,8,social,8,0,,
10/23/2025,9,social,8,0,,
10/23/2025,10,social,51,43,,
10/23/2025,11,social,77,26,,
10/23/2025,12,social,81,4,,
10/23/2025,13,social,87,6,,
10/23/2025,14,social,87,0,,
10/23/2025,15,social,87,0,,
10/23/2025,16,social,87,0,,
10/23/2025,17,social,87,0,,
10/23/2025,18,social,87,0,,
10/23/2025,19,social,87,0,,
10/23/2025,20,social,87,0,,
10/23/2025,21,social,87,0,,
10/23/2025,22,social,87,0,,
10/23/2025,23,social,87,0,,
10/23/2025,0,entertainment,12,12,,
10/23/2025,1,entertainment,45,33,,
10/23/2025,2,entertainment,105,60,,
10/23/2025,3,entertainment,111,6,,
10/23/2025,4,entertainment,111,0,,
10/23/2025,5,entertainment,111,0,,
10/23/2025,6,entertainment,111,0,,
10/23/2025,7,entertainment,111,0,,
10/23/2025,8,entertainment,130,19,,
10/23/2025,9,entertainment,142,12,,
10/23/2025,10,entertainment,152,10,,
10/23/2025,11,entertainment,169,17,,
10/23/2025,12,entertainment,196,27,,
10/23/2025,13,entertainment,196,0,,
10/23/2025,14,entertainment,196,0,,
10/23/2025,15,entertainment,223,27,,
10/23/2025,16,entertainment,223,0,,
10/23/2025,17,entertainment,247,24,,
10/23/2025,18,entertainment,297,50,,
10/23/2025,19,entertainment,344,47,,
10/23/2025,20,entertainment,344,0,,
10/23/2025,21,entertainment,344,0,,
10/23/2025,22,entertainment,349,5,,
10/23/2025,23,entertainment,349,0,,
10/23/2025,0,others,0,0,,
10/23/2025,1,others,0,0,,
10/23/2025,2,others,0,0,,
10/23/2025,3,others,0,0,,
10/23/2025,4,others,0,0,,
10/23/2025,5,others,0,0,,
10/23/2025,6,others,0,0,,
10/23/2025,7,others,0,0,,
10/23/2025,8,others,0,0,,
10/23/2025,9,others,0,0,,
10/23/2025,10,others,0,0,,
10/23/2025,11,others,0,0,,
10/23/2025,12,others,13,13,,
10/23/2025,13,others,14,1,,
10/23/2025,14,others,14,0,,
10/23/2025,15,others,14,0,,
10/23/2025,16,others,14,0,,
10/23/2025,17,others,14,0,,
10/23/2025,18,others,14,0,,
10/23/2025,19,others,14,0,,
10/23/2025,20,others,14,0,,
10/23/2025,21,others,14,0,,
10/23/2025,22,others,14,0,,
10/23/2025,23,others,14,0,,
10/24/2025,0,social,0,0,,
10/24/2025,1,social,0,0,,
10/24/2025,2,social,39,39,,
10/24/2025,3,social,62,23,,
10/24/2025,4,social,62,0,,
10/24/2025,5,social,70,8,,
10/24/2025,6,social,70,0,,
10/24/2025,7,social,70,0,,
10/24/2025,8,social,70,0,,
10/24/2025,9,social,70,0,,
10/24/2025,10,social,70,0,,
10/24/2025,11,social,76,6,,
10/24/2025,12,social,92,16,,
